Location,City,city_name,state_name,Lat,Lng
"Springfield, VA",57,Springfield, VA,38.7892801,-77.18720359999999
"Rancho Cordova, CA",56,Rancho Cordova, CA,38.5890723,-121.302728
"Piscataway, NJ",55,Piscataway, NJ,40.554887,-74.4642861
"West Hollywood, CA",55,West Hollywood, CA,34.0900091,-118.3617443
"Harrisburg, PA",55,Harrisburg, PA,40.2731911,-76.8867008
"Madison, WI",55,Madison, WI,43.0730517,-89.4012302
"Boca Raton, FL",54,Boca Raton, FL,26.3683064,-80.1289321
"Newark, NJ",54,Newark, NJ,40.735657,-74.1723667
"Warren, NJ",53,Warren, NJ,40.6342489,-74.50047959999999
"Sacramento, CA",52,Sacramento, CA,38.5815719,-121.4943996
"San Antonio, TX",52,San Antonio, TX,29.4241219,-98.49362819999999
"Memphis, TN",52,Memphis, TN,35.1495343,-90.0489801
"Glendale, CA",52,Glendale, CA,34.1425078,-118.255075
"Milpitas, CA",51,Milpitas, CA,37.4323341,-121.8995741
"Bethesda, MD",51,Bethesda, MD,38.984652,-77.0947092
"Edison, NJ",50,Edison, NJ,40.5187154,-74.4120953
"Tallahassee, FL",49,Tallahassee, FL,30.4382559,-84.28073289999999
"Pensacola, FL",48,Pensacola, FL,30.42130899999999,-87.2169149
"Westborough, MA",48,Westborough, MA,42.2695216,-71.61612939999999
"Marlborough, MA",48,Marlborough, MA,42.3459271,-71.5522874
"Dublin, OH",47,Dublin, OH,40.0992294,-83.1140771
"Redmond, WA",47,Redmond, WA,47.6739881,-122.121512
"Westlake Village, CA",47,Westlake Village, CA,34.1466467,-118.8073729
"Folsom, CA",47,Folsom, CA,38.6779591,-121.1760583
"Woodland Hills, CA",46,Woodland Hills, CA,34.165357,-118.6089752
"Little Rock, AR",46,Little Rock, AR,34.7464809,-92.28959479999999
"King Of Prussia, PA",46,King Of Prussia, PA,40.1012856,-75.3835525
"West Chester, PA",46,West Chester, PA,39.9606643,-75.6054882
"Melville, NY",46,Melville, NY,40.7934322,-73.41512139999999
"Toronto, ON",45,Toronto, ON,43.653226,-79.3831843
"Washington, DC",43,Washington, DC,38.9071923,-77.0368707
"Pleasanton, CA",43,Pleasanton, CA,37.6624312,-121.8746789
"District Of Columbia, DC",42,District Of Columbia, DC,38.9071923,-77.0368707
"Columbia, MD",42,Columbia, MD,39.2037144,-76.86104619999999
"Troy, MI",42,Troy, MI,42.6064095,-83.1497751
"Marina Del Rey, CA",42,Marina Del Rey, CA,33.9802893,-118.4517449
"Knoxville, TN",41,Knoxville, TN,35.9606384,-83.9207392
"Quincy, MA",41,Quincy, MA,42.2528772,-71.0022705
"Aliso Viejo, CA",40,Aliso Viejo, CA,33.5684605,-117.7262981
"Lafayette, LA",40,Lafayette, LA,30.2240897,-92.0198427
"West Palm Beach, FL",40,West Palm Beach, FL,26.7153424,-80.0533746
"Burlington, MA",40,Burlington, MA,42.5047161,-71.1956205
"El Segundo, CA",40,El Segundo, CA,33.9191799,-118.4164652
"Bellevue, WA",39,Bellevue, WA,47.6101497,-122.2015159
"Ashburn, VA",39,Ashburn, VA,39.0437567,-77.4874416
"Anaheim, CA",38,Anaheim, CA,33.8365932,-117.9143012
"Hollywood, CA",38,Hollywood, CA,34.0928092,-118.3286614
"Campbell, CA",38,Campbell, CA,37.2871651,-121.9499568
"Berkeley, CA",38,Berkeley, CA,37.8715926,-122.272747
"Melbourne, FL",38,Melbourne, FL,28.0836269,-80.60810889999999
"Milwaukee, WI",37,Milwaukee, WI,43.0389025,-87.9064736
"Ann Arbor, MI",37,Ann Arbor, MI,42.2808256,-83.7430378
"Clearwater, FL",37,Clearwater, FL,27.9658533,-82.8001026
"Chelsea, MA",37,Chelsea, MA,42.3917638,-71.0328284
"Broomfield, CO",36,Broomfield, CO,39.9205411,-105.0866504
"Farmington Hills, MI",36,Farmington Hills, MI,42.4989936,-83.3677168
"Newark, DE",36,Newark, DE,39.6837226,-75.74965720000002
"Walnut Creek, CA",35,Walnut Creek, CA,37.9100783,-122.0651819
"Des Moines, IA",35,Des Moines, IA,41.5868353,-93.6249593
"Manhattan Beach, CA",35,Manhattan Beach, CA,33.8847361,-118.4109089
"Fort Lauderdale, FL",35,Fort Lauderdale, FL,26.1224386,-80.13731740000001
"Natick, MA",34,Natick, MA,42.2775281,-71.3468091
"Vienna, VA",34,Vienna, VA,38.9012225,-77.2652604
"Cupertino, CA",34,Cupertino, CA,37.3229978,-122.0321823
"Aurora, CO",34,Aurora, CO,39.7294319,-104.8319195
"South San Francisco, CA",34,South San Francisco, CA,37.654656,-122.4077498
"Long Island City, NY",34,Long Island City, NY,40.744679,-73.9485424
"Rockville, MD",33,Rockville, MD,39.0839973,-77.1527578
"Cary, NC",33,Cary, NC,35.79154,-78.7811169
"Newton, MA",33,Newton, MA,42.3370413,-71.20922139999999
"Rochester, NY",33,Rochester, NY,43.15657789999999,-77.6088465
"Louisville, KY",33,Louisville, KY,38.2526647,-85.7584557
"Greenwood Village, CO",33,Greenwood Village, CO,39.6172101,-104.9508141
"Auburn Hills, MI",32,Auburn Hills, MI,42.6875323,-83.2341028
"Jupiter, FL",32,Jupiter, FL,26.9342246,-80.0942087
"Addison, TX",32,Addison, TX,32.96179,-96.82916850000001
"Overland Park, KS",31,Overland Park, KS,38.9822282,-94.6707917
"Windsor, CT",31,Windsor, CT,41.8525984,-72.64370219999999
"Azusa, CA",31,Azusa, CA,34.1336186,-117.9075627
"Duluth, GA",31,Duluth, GA,34.0028786,-84.1446376
"Gaithersburg, MD",30,Gaithersburg, MD,39.1434406,-77.2013705
"Andover, MA",30,Andover, MA,42.6583356,-71.1367953
"Dayton, OH",30,Dayton, OH,39.7589478,-84.1916069
"Manchester, NH",30,Manchester, NH,42.9956397,-71.4547891
"Encino, CA",29,Encino, CA,34.1517492,-118.5214282
"Oak Brook, IL",29,Oak Brook, IL,41.8397865,-87.95355339999999
"Naples, FL",29,Naples, FL,26.1420358,-81.7948103
"Buffalo, NY",29,Buffalo, NY,42.88644679999999,-78.8783689
"Westlake, TX",29,Westlake, TX,32.991235,-97.19501380000001
"Brea, CA",29,Brea, CA,33.916475,-117.9002918
"Centennial, CO",29,Centennial, CO,39.5807452,-104.8771726
"Springfield, MA",29,Springfield, MA,42.1014831,-72.589811
"Fairfax, VA",29,Fairfax, VA,38.84622359999999,-77.30637329999999
"Novato, CA",28,Novato, CA,38.1074198,-122.5697032
"Sherman Oaks, CA",28,Sherman Oaks, CA,34.1489719,-118.451357
"Silver Spring, MD",28,Silver Spring, MD,38.99066570000001,-77.026088
"Syracuse, NY",28,Syracuse, NY,43.0481221,-76.14742439999999
"Malden, MA",28,Malden, MA,42.4250964,-71.066163
"Frisco, TX",28,Frisco, TX,33.1506744,-96.82361159999999
"Hollywood, FL",27,Hollywood, FL,26.0112014,-80.1494901
"Orange, CA",27,Orange, CA,33.7879139,-117.8531007
"Lake Forest, IL",27,Lake Forest, IL,42.2586342,-87.840625
"Hanover, MD",27,Hanover, MD,39.19550419999999,-76.7228227
"Tigard, OR",27,Tigard, OR,45.4186798,-122.7872599
"Sunrise, FL",27,Sunrise, FL,26.1669711,-80.25659499999999
"Norwalk, CT",27,Norwalk, CT,41.11774399999999,-73.4081575
"Monroe, LA",27,Monroe, LA,32.5093109,-92.1193012
"Burlingame, CA",26,Burlingame, CA,37.5778696,-122.34809
"Plymouth, MN",26,Plymouth, MN,45.0105194,-93.4555093
"Franklin, TN",26,Franklin, TN,35.9250637,-86.8688899
"Durham, NC",26,Durham, NC,35.9940329,-78.898619
"Brentwood, TN",26,Brentwood, TN,36.0331164,-86.78277720000001
"New Orleans, LA",26,New Orleans, LA,29.95106579999999,-90.0715323
"Agoura Hills, CA",25,Agoura Hills, CA,34.1533395,-118.7616764
"Saint Petersburg, FL",25,Saint Petersburg, FL,27.7676008,-82.64029149999999
"Troy, NY",25,Troy, NY,42.7284117,-73.69178509999999
"Gardena, CA",25,Gardena, CA,33.8883487,-118.3089624
"Lincoln, NE",25,Lincoln, NE,40.813616,-96.7025955
"Fresno, CA",25,Fresno, CA,36.7377981,-119.7871247
"Venice, CA",24,Venice, CA,33.9850469,-118.4694832
"Tulsa, OK",24,Tulsa, OK,36.1539816,-95.99277500000001
"Annapolis Junction, MD",24,Annapolis Junction, MD,39.1202934,-76.77693239999999
"Beverly, MA",24,Beverly, MA,42.5584283,-70.880049
"Parsippany, NJ",24,Parsippany, NJ,40.8652865,-74.41738769999999
"Allentown, PA",24,Allentown, PA,40.6022939,-75.4714098
"Lebanon, NH",24,Lebanon, NH,43.6422934,-72.2517569
"Round Rock, TX",24,Round Rock, TX,30.5082551,-97.678896
"Lawrence, KS",24,Lawrence, KS,38.9716689,-95.2352501
"Schaumburg, IL",24,Schaumburg, IL,42.0333607,-88.0834059
"Novi, MI",24,Novi, MI,42.48059,-83.4754913
"Redondo Beach, CA",24,Redondo Beach, CA,33.8491816,-118.3884078
"Laurel, MD",24,Laurel, MD,39.0992752,-76.8483061
"Bridgewater, NJ",23,Bridgewater, NJ,40.5939636,-74.6049061
