,Location,City,city_name,state_name,Lat,Lng
90,"Bannockburn, IL",2,Bannockburn, IL,42.1933581,-87.8664579
91,"Baraboo, WI",2,Baraboo, WI,43.4710944,-89.7442906
92,"Barrington, IL",2,Barrington, IL,42.1539141,-88.1361888
93,"Bartlesville, OK",1,Bartlesville, OK,36.7473114,-95.9808179
94,"Basking Ridge, NJ",15,Basking Ridge, NJ,40.7066174,-74.5493284
95,"Batavia, IL",1,Batavia, IL,41.8500284,-88.3125738
96,"Bath, ME",2,Bath, ME,43.9106353,-69.8206023
97,"Baton Rouge, LA",7,Baton Rouge, LA,30.4514677,-91.1871466
98,"Beachwood, OH",1,Beachwood, OH,41.4644979,-81.5087322
99,"Beaufort, SC",2,Beaufort, SC,32.4315813,-80.6698286
100,"Beaverton, OR",115,Beaverton, OR,45.4887993,-122.8013332
101,"Bedford Park, IL",1,Bedford Park, IL,41.7641723,-87.7812524
102,"Bedford, MA",14,Bedford, MA,42.4906231,-71.2760089
103,"Bedford, NH",2,Bedford, NH,42.9463291,-71.5132008
104,"Bedford, TX",1,Bedford, TX,32.844017,-97.1430671
105,"Bedminster, NJ",4,Bedminster, NJ,40.669264,-74.6804
106,"Belle Chasse, LA",1,Belle Chasse, LA,29.8549287,-89.9906253
107,"Belle Meade, TN",1,Belle Meade, TN,36.0958923,-86.8569447
108,"Bellefonte, PA",1,Bellefonte, PA,40.9133943,-77.7783348
109,"Bellevue, NE",1,Bellevue, NE,41.1543623,-95.9145568
110,"Bellevue, WA",39,Bellevue, WA,47.6101497,-122.2015159
111,"Bellingham, WA",2,Bellingham, WA,48.7519112,-122.4786854
112,"Bellows Falls, VT",1,Bellows Falls, VT,43.133411,-72.4439772
113,"Belmont, CA",4,Belmont, CA,37.5202145,-122.2758008
114,"Belmont, MA",4,Belmont, MA,42.3956405,-71.1776114
115,"Belmont, MI",1,Belmont, MI,43.0747937,-85.6123238
116,"Beloit, WI",2,Beloit, WI,42.5083482,-89.0317765
117,"Belton, TX",1,Belton, TX,31.0560132,-97.464453
118,"Bend, OR",3,Bend, OR,44.0581728,-121.3153096
119,"Bensalem, PA",2,Bensalem, PA,40.0994425,-74.9325683
120,"Bensenville, IL",3,Bensenville, IL,41.9550296,-87.9400657
121,"Benton Harbor, MI",2,Benton Harbor, MI,42.1167065,-86.4541894
122,"Benton Harbour, MI",1,Benton Harbour, MI,42.1167065,-86.4541894
123,"Bentonville, AR",7,Bentonville, AR,36.3728538,-94.2088172
124,"Berea, KY",1,Berea, KY,37.568694,-84.2963223
125,"Berkeley Heights, NJ",6,Berkeley Heights, NJ,40.6808726,-74.4310524
126,"Berkeley Lake, GA",1,Berkeley Lake, GA,33.983712,-84.1865848
127,"Berkeley, CA",38,Berkeley, CA,37.8715926,-122.272747
128,"Berlin, CT",7,Berlin, CT,41.621488,-72.7456519
129,"Berwyn, PA",8,Berwyn, PA,40.045824,-75.4395931
130,"Bethesda, MD",51,Bethesda, MD,38.984652,-77.0947092
131,"Bethlehem, PA",10,Bethlehem, PA,40.6259316,-75.3704579
132,"Bethpage, NY",7,Bethpage, NY,40.7442664,-73.4820687
133,"Beverly Hills, CA",21,Beverly Hills, CA,34.0736204,-118.4003563
134,"Beverly, MA",24,Beverly, MA,42.5584283,-70.880049
135,"Billerica, MA",9,Billerica, MA,42.5584218,-71.2689461
136,"Billings, MT",1,Billings, MT,45.7832856,-108.5006904
137,"Birmingham, AL",20,Birmingham, AL,33.5185892,-86.8103567
138,"Birmingham, MI",3,Birmingham, MI,42.5467012,-83.2113192
139,"Birmingham, PA",1,Birmingham, PA,40.6478421,-78.1952892
140,"Bismarck, ND",1,Bismarck, ND,46.8083268,-100.7837392
141,"Bloomfield Hills, MI",2,Bloomfield Hills, MI,42.583645,-83.2454883
142,"Bloomfield, CT",11,Bloomfield, CT,41.826488,-72.7300945
143,"Bloomfield, NJ",3,Bloomfield, NJ,40.8067546,-74.1854209
144,"Bloomington, IL",22,Bloomington, IL,40.4842027,-88.9936873
145,"Bloomington, IN",1,Bloomington, IN,39.165325,-86.5263857
146,"Bloomington, MN",8,Bloomington, MN,44.840798,-93.2982799
147,"Blue Ash, OH",3,Blue Ash, OH,39.2320029,-84.3782734
148,"Blue Bell, PA",2,Blue Bell, PA,40.1523309,-75.266289
149,"Blue Mound, TX",1,Blue Mound, TX,32.8565166,-97.3389061
150,"Bluffdale, UT",1,Bluffdale, UT,40.4896711,-111.9388244
151,"Boardman, OR",3,Boardman, OR,45.839855,-119.7005834
152,"Boca Raton, FL",54,Boca Raton, FL,26.3683064,-80.1289321
